hash,buggy_sha,tree,backport,buggy_tag,root cause,Trigger condition,discover,afterfix,consequence,visibility,Note (conseqeuce),Note (trigger),,discovery,hardware,
70d8b6485b0bcd135b6699fc4252d2272818d1fb,e7a1b32e43b1,master;linux-6.12.y,linux-6.12.y,v6.7,semantic(incorrect logic implementation making decision  update attr managetimer etc),Boot,User reported or In-production,no action,"""Performance (energy efficiency, capacity fit)""",None,,,,,,
9c70b2a33cd2aa6a5a59c5523ef053bd42265209,214dbc428137,master;linux-6.12.y;linux-6.6.y,linux-6.6.y,v6.3,memory,"Special topology (numa), Thread Behavior",Benchmark/stress test regression,no action,Crash,None,,,,,,
b55945c500c5723992504aa03b362fab416863a6,152e11f6df29,master;linux-6.12.y,,v6.12,concurrency,Thread Behavior,Fuzz,comment," ""Performance (Policy violation, sched overhead)""",Warning,may cause unnecessary migration,conccurent write on_rq,,,,
cd9626e9ebc77edec33023fe95dab4b04ffc819d,152e11f6df29,master;linux-6.12.y,,v6.12,semantic(incorrect logic implementation making decision  update attr managetimer etc),"KVM, Kernel/driver Event, Thread Behavior",User reported or In-production,comment,Functionality (response error),None,,,,,,
f5aaff7bfa11fb0b2ee6b8fd7bbc16cfceea2ad3,152e11f6df29,master;linux-6.12.y,,v6.12,semantic(incorrect update stats),Thread Behavior,User reported or In-production,no action,Functionality (Trace or account),Warning,,,,,,
73ab05aa46b02d96509cb029a8d04fca7bbde8c7,223baf9d17f2,master;linux-6.12.y;linux-6.6.y,linux-6.6.y,v6.4,concurrency,Thread Behavior,Customizied test,comment,lockup / hang,Panic,,,,,,
d16b7eb6f523eeac3cff13001ef2a59cd462aa73,63ba8422f876,master;linux-6.12.y,,v6.8,semantic(incorrect logic implementation making decision  update attr managetimer etc),"special config, Thread Behavior",Code Review or Internal Debug,no action,Functionality (config / feature not enabled/disabled),None,,,,,,
d4ac164bde7a12ec0a238a7ead5aa26819bbb1c1,85e511df3cec,master;linux-6.12.y,,v6.12,semantic(incorrect logic implementation making decision  update attr managetimer etc),"Thread Behavior, multiple sched class",Benchmark/stress test regression,no action,"""Performance (Policy violation, sched overhead)""",None,overschedule,,,,,
9b5ce1a37e904fac32d560668134965f4e937f6c,152e11f6df29,master;linux-6.12.y,,v6.12,semantic(maintain in-memory data structure wrong cfs tree list etc),"Thread Behavior, Property change (per cgroup)",Benchmark/stress test/standard test fail,comment,Crash,Panic,,,,,,
c662e2b1e8cfc3b6329704dab06051f8c3ec2993,152e11f6df29,master;linux-6.12.y,,v6.12,semantic(maintain in-memory data structure wrong cfs tree list etc),Thread Behavior,Code Review or Internal Debug,no action,"""Performance (Policy violation, sched overhead)""",None,,,,,,
84d265281d6cea65353fc24146280e0d86ac50cb,97450eb90965,master;linux-6.12.y,,v6.10,semantic(incorrect update stats),Thread Behavior,Code Review or Internal Debug,no action,"""Performance (Policy violation, balance, work conserving)"", ""Performance (Policy violation, cpufreq control)"", ""Performance (Policy violation, fairness)""",None,,,,,,
f22cde4371f3c624e947a35b075c06c771442a43,fc137c0ddab2,master;linux-6.12.y;linux-6.6.y,linux-6.6.y,v6.4,semantic(incorrect update stats),"Special topology (numa), Thread Behavior",Benchmark/stress test regression,comment,"""Performance (Policy violation, balance, work conserving)"", ""Performance (Policy violation, fairness)""",None,,,,,SPECcpu omnetpp_r on a 320 CPUs/2 Sockets system,
75b6499024a6c1a4ef0288f280534a5c54269076,2e0199df252a,master;linux-6.12.y,,v6.12,semantic(incorrect update stats),"Property change (per thread), Thread Behavior",Code Review or Internal Debug,comment,Functionality (property change fail),None,,,,,,
9c602adb799e72ee537c0c7ca7e828c3fe2acad6,63ba8422f876,master;linux-6.12.y,,v6.8,semantic(incorrect update stats),Thread Behavior,User reported or In-production,no action,Functionality (Trace or account),None,,,,,,
faa42d29419def58d3c3e5b14ad4037f0af3b496,304000390f88,master;linux-6.12.y;linux-6.6.y,linux-6.6.y,v5.15,semantic(incorrect logic implementation making decision  update attr managetimer etc),"multiple sched class, Property change (per cgroup), Thread Behavior",Code Review or Internal Debug,comment,"""Performance (Policy violation, impact from lower priority task)""",None,,,,,,
